epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0413,2.10158,3.66378,1.97371,0.00547,0.625,0.0872,0.0428,1.89506,3.42471,1.89964,0.00035007,0.00035007,0.00035007
2,40.6948,1.84877,3.01952,1.82082,0.08355,0.245,0.05787,0.0204,1.99153,3.26393,2.10286,0.000709714,0.000709714,0.000709714
3,49.2559,1.89979,2.83603,1.8602,0.43794,0.07795,0.12434,0.04584,1.9214,3.09087,2.19924,0.0010621,0.0010621,0.0010621
4,57.2611,1.93394,2.78493,1.80843,0.18667,0.17,0.11563,0.04221,2.08299,2.88918,2.17729,0.00140722,0.00140722,0.00140722
5,65.4061,1.91852,2.63606,1.79892,0.13277,0.2,0.06097,0.01537,2.70246,3.9315,3.0912,0.00160099,0.00160099,0.00160099
6,74.0091,1.89748,2.59438,1.78732,0.29107,0.285,0.20329,0.08915,2.14816,3.23453,2.20165,0.00158448,0.00158448,0.00158448
7,81.8492,1.90053,2.55077,1.83552,0.32097,0.25,0.21951,0.10245,1.93421,3.5488,2.04112,0.00156798,0.00156798,0.00156798
8,90.4037,1.84816,2.40715,1.73637,0.20369,0.26,0.14747,0.05677,2.09652,3.56713,2.47482,0.00155148,0.00155148,0.00155148
9,97.7416,1.86085,2.39141,1.80685,0.22307,0.28,0.15755,0.06201,2.06265,3.75035,2.2343,0.00153497,0.00153497,0.00153497
10,106.507,1.85818,2.41119,1.77942,0.34496,0.285,0.27757,0.14173,1.97108,2.95051,2.05724,0.00151847,0.00151847,0.00151847
11,114.784,1.85956,2.36084,1.74746,0.31572,0.24685,0.21081,0.10098,1.90195,2.81473,1.96661,0.00150197,0.00150197,0.00150197
12,122.257,1.78946,2.26523,1.72285,0.28207,0.305,0.23034,0.1162,1.79829,2.3416,1.85107,0.00148546,0.00148546,0.00148546
13,130.943,1.82165,2.33522,1.77768,0.23271,0.17,0.12249,0.05367,1.97953,3.5523,2.04678,0.00146896,0.00146896,0.00146896
14,138.506,1.76712,2.17786,1.69554,0.46401,0.325,0.3252,0.171,1.7487,2.52125,1.80035,0.00145246,0.00145246,0.00145246
15,147.123,1.68882,2.15034,1.65864,0.34097,0.28716,0.25016,0.12742,1.77339,2.39419,1.8347,0.00143595,0.00143595,0.00143595
16,155.647,1.78923,2.15839,1.70455,0.38886,0.395,0.33478,0.17249,1.75157,2.1407,1.72515,0.00141945,0.00141945,0.00141945
17,162.927,1.77669,2.12349,1.69248,0.49878,0.345,0.36258,0.17729,1.66597,2.01657,1.63547,0.00140295,0.00140295,0.00140295
18,171.568,1.70188,1.97692,1.62713,0.56988,0.295,0.32351,0.16447,1.75241,2.02522,1.75036,0.00138644,0.00138644,0.00138644
19,180.126,1.69308,2.02159,1.63921,0.39249,0.335,0.32617,0.15474,1.81799,2.20028,1.79475,0.00136994,0.00136994,0.00136994
20,187.87,1.70311,1.98137,1.63951,0.40953,0.42,0.35041,0.17638,1.73904,2.0172,1.68766,0.00135344,0.00135344,0.00135344
21,196.214,1.74525,2.01797,1.6735,0.40062,0.40773,0.35973,0.18802,1.69626,1.98357,1.72311,0.00133693,0.00133693,0.00133693
22,204.144,1.6256,1.95021,1.59775,0.37864,0.34735,0.30028,0.15692,1.81415,2.34231,1.81464,0.00132043,0.00132043,0.00132043
23,212.11,1.63026,1.89084,1.57369,0.58396,0.335,0.36223,0.18652,1.65647,2.02297,1.6928,0.00130393,0.00130393,0.00130393
24,220.172,1.60651,1.88919,1.55087,0.45136,0.345,0.35825,0.17617,1.67141,2.17263,1.72734,0.00128742,0.00128742,0.00128742
25,227.789,1.6403,1.92998,1.60954,0.48154,0.37,0.38409,0.19544,1.66107,1.90806,1.71277,0.00127092,0.00127092,0.00127092
26,236.514,1.63307,1.9338,1.61422,0.40726,0.395,0.36681,0.19067,1.63781,1.99854,1.71009,0.00125442,0.00125442,0.00125442
27,244.427,1.54745,1.79523,1.54193,0.41455,0.375,0.37616,0.21337,1.63707,1.9714,1.69423,0.00123791,0.00123791,0.00123791
28,252.816,1.68065,1.90505,1.60234,0.48022,0.375,0.37537,0.17868,1.88185,2.21868,1.84684,0.00122141,0.00122141,0.00122141
29,260.85,1.58709,1.7921,1.54721,0.43784,0.31,0.29279,0.15079,1.76389,2.29929,1.79113,0.00120491,0.00120491,0.00120491
30,268.766,1.61204,1.86292,1.55721,0.46934,0.435,0.39796,0.21476,1.64539,2.05799,1.7133,0.0011884,0.0011884,0.0011884
31,277.357,1.54927,1.81597,1.52049,0.39126,0.465,0.3866,0.21265,1.59369,1.97861,1.64698,0.0011719,0.0011719,0.0011719
32,285.945,1.51478,1.7,1.48537,0.46549,0.36,0.34261,0.17578,1.68265,1.94286,1.64457,0.0011554,0.0011554,0.0011554
33,293.359,1.56832,1.7258,1.51945,0.36478,0.46,0.37233,0.19651,1.77073,2.01319,1.72915,0.00113889,0.00113889,0.00113889
34,302.026,1.54403,1.72605,1.52277,0.44783,0.37,0.33669,0.16364,1.76726,2.00809,1.74513,0.00112239,0.00112239,0.00112239
35,310.442,1.56948,1.72874,1.50872,0.56585,0.385,0.41405,0.21347,1.76082,1.87131,1.68715,0.00110589,0.00110589,0.00110589
36,318.367,1.55487,1.68404,1.48953,0.57868,0.345,0.39729,0.21052,1.7025,1.92862,1.71557,0.00108938,0.00108938,0.00108938
37,326.418,1.49219,1.67163,1.48907,0.51422,0.38,0.40196,0.22326,1.64089,2.01837,1.65454,0.00107288,0.00107288,0.00107288
38,334.842,1.43866,1.57403,1.44792,0.51285,0.41583,0.40592,0.22926,1.65637,1.83051,1.63302,0.00105638,0.00105638,0.00105638
39,342.55,1.53028,1.63325,1.52273,0.53011,0.40614,0.41213,0.21477,1.59779,1.77161,1.57343,0.00103987,0.00103987,0.00103987
40,351.027,1.51147,1.67806,1.46451,0.58172,0.375,0.4026,0.21041,1.63785,1.97951,1.66444,0.00102337,0.00102337,0.00102337
41,358.898,1.51857,1.67443,1.50026,0.54225,0.395,0.42988,0.22823,1.63015,1.85699,1.69873,0.00100687,0.00100687,0.00100687
42,367.2,1.4612,1.56884,1.47063,0.58111,0.425,0.46198,0.24649,1.61804,1.77548,1.63792,0.000990365,0.000990365,0.000990365
43,376.01,1.52422,1.57396,1.47737,0.4398,0.445,0.40222,0.20459,1.65887,1.85698,1.65823,0.000973861,0.000973861,0.000973861
44,383.423,1.51096,1.62564,1.47113,0.51028,0.41,0.39849,0.22271,1.59493,1.81329,1.63624,0.000957358,0.000957358,0.000957358
45,391.714,1.48955,1.63226,1.46297,0.40418,0.4138,0.39713,0.20968,1.63701,1.91184,1.68098,0.000940855,0.000940855,0.000940855
46,399.799,1.42235,1.53858,1.42013,0.49254,0.415,0.39515,0.20549,1.63613,1.79263,1.62885,0.000924352,0.000924352,0.000924352
47,407.978,1.44132,1.5129,1.43068,0.59826,0.335,0.36288,0.20048,1.63865,1.95435,1.67601,0.000907848,0.000907848,0.000907848
48,416.392,1.51009,1.63595,1.50923,0.5325,0.395,0.38732,0.21037,1.66939,1.84432,1.67769,0.000891345,0.000891345,0.000891345
49,423.885,1.43194,1.51821,1.44299,0.47458,0.43808,0.42663,0.22192,1.68251,1.81863,1.67177,0.000874842,0.000874842,0.000874842
50,432.511,1.39922,1.43545,1.38852,0.57033,0.4,0.44,0.24788,1.61813,1.82484,1.65191,0.000858338,0.000858338,0.000858338
51,440.797,1.3712,1.41201,1.39514,0.60057,0.405,0.43285,0.23968,1.72193,1.87828,1.73712,0.000841835,0.000841835,0.000841835
52,448.396,1.37992,1.45713,1.37421,0.52288,0.44,0.46196,0.25274,1.737,1.81865,1.75953,0.000825332,0.000825332,0.000825332
53,456.762,1.4051,1.41938,1.40313,0.51432,0.44476,0.45841,0.25988,1.61545,1.69691,1.64365,0.000808828,0.000808828,0.000808828
54,464.358,1.3462,1.42976,1.39614,0.64339,0.365,0.40156,0.22186,1.72332,1.92812,1.71684,0.000792325,0.000792325,0.000792325
55,472.713,1.37955,1.40818,1.38702,0.53418,0.415,0.42669,0.22937,1.63715,1.78805,1.64837,0.000775822,0.000775822,0.000775822
56,481.231,1.36947,1.41651,1.3906,0.64385,0.39,0.45922,0.24239,1.6235,1.77079,1.65482,0.000759318,0.000759318,0.000759318
57,489.027,1.34026,1.38966,1.37654,0.48541,0.41,0.40621,0.21857,1.67505,1.89372,1.67363,0.000742815,0.000742815,0.000742815
58,497.206,1.35822,1.3859,1.38718,0.59775,0.455,0.47429,0.26037,1.52839,1.75669,1.56567,0.000726312,0.000726312,0.000726312
59,506.166,1.32229,1.33685,1.36029,0.5793,0.37,0.4064,0.21851,1.69424,1.80824,1.69575,0.000709809,0.000709809,0.000709809
60,514.055,1.33324,1.35594,1.35275,0.46295,0.435,0.40589,0.22949,1.6356,1.83354,1.67191,0.000693305,0.000693305,0.000693305
61,522.372,1.31613,1.28308,1.33172,0.45377,0.465,0.43121,0.23451,1.7096,1.86222,1.78393,0.000676802,0.000676802,0.000676802
62,530.294,1.28708,1.29235,1.3523,0.52952,0.44458,0.45187,0.24481,1.63786,1.78424,1.67279,0.000660299,0.000660299,0.000660299
63,538.744,1.33071,1.30657,1.36883,0.51544,0.43613,0.45071,0.25287,1.61812,1.71554,1.65751,0.000643795,0.000643795,0.000643795
64,546.652,1.32094,1.27453,1.34881,0.49263,0.50003,0.44383,0.23579,1.62951,1.70368,1.65242,0.000627292,0.000627292,0.000627292
