epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9669,2.10559,4.2963,2.16456,0.00592,0.585,0.05464,0.02305,1.80246,3.62816,2.03876,0.00038341,0.00038341,0.00038341
2,57.7307,1.89474,3.65697,1.99222,0.53705,0.015,0.05321,0.02017,1.95128,3.44365,2.4266,0.000778642,0.000778642,0.000778642
3,72.7163,1.94006,3.45149,1.98993,0.33359,0.125,0.11985,0.05042,1.90516,3.23024,2.38411,0.00116892,0.00116892,0.00116892
4,88.6605,1.90062,3.31852,2.05961,0.23637,0.13,0.08645,0.03285,2.00386,3.65494,2.57009,0.00155425,0.00155425,0.00155425
5,103.45,1.91387,3.10535,2.00869,0.08845,0.15,0.05104,0.01966,2.32832,4.26876,2.894,0.00162574,0.00162574,0.00162574
6,118.142,1.96128,3.06327,2.05401,0.19722,0.17,0.10588,0.04296,2.16049,3.54238,2.47358,0.00161543,0.00161543,0.00161543
7,132.558,1.92377,2.89255,2.00497,0.13641,0.18,0.06928,0.02618,2.1071,3.34332,2.33599,0.00160511,0.00160511,0.00160511
8,146.707,1.9031,2.81723,1.94523,0.18811,0.335,0.14697,0.06165,2.00937,3.49933,2.28444,0.0015948,0.0015948,0.0015948
9,162.137,1.875,2.71834,1.97342,0.28704,0.27,0.17937,0.07521,2.17984,2.93333,2.33226,0.00158448,0.00158448,0.00158448
10,177.532,1.88562,2.66828,1.97274,0.25677,0.26,0.19749,0.08824,1.97428,2.9627,2.18708,0.00157417,0.00157417,0.00157417
11,192.477,1.85214,2.52156,1.93215,0.26577,0.31,0.19941,0.09306,1.81884,2.70023,2.03502,0.00156385,0.00156385,0.00156385
12,207.679,1.84721,2.4796,1.91046,0.45198,0.27218,0.23546,0.10938,1.87507,2.34253,1.98082,0.00155354,0.00155354,0.00155354
13,222.702,1.89153,2.48303,1.90767,0.41104,0.34547,0.30634,0.15597,1.69518,2.63589,1.89114,0.00154323,0.00154323,0.00154323
14,237.085,1.82061,2.39576,1.85694,0.3457,0.27,0.23041,0.11344,1.82079,2.57902,1.93074,0.00153291,0.00153291,0.00153291
