epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1127,2.04613,3.5203,1.99134,0.00769,0.635,0.0767,0.03371,1.68999,3.33442,1.81022,0.00038341,0.00038341,0.00038341
2,20.2171,1.82229,2.91591,1.78953,0.31631,0.085,0.10507,0.0511,1.9346,3.18214,1.94463,0.000778319,0.000778319,0.000778319
3,28.3711,1.91173,2.83149,1.7906,0.17833,0.24743,0.13118,0.05522,1.98407,2.98648,2.16939,0.00116795,0.00116795,0.00116795
4,36.8927,1.87241,2.768,1.82204,0.13684,0.065,0.03827,0.01308,2.17379,20.3485,2.90979,0.00155229,0.00155229,0.00155229
5,45.8276,1.84677,2.56132,1.7398,0.09991,0.165,0.05696,0.01495,2.43304,13.1687,3.16322,0.00162299,0.00162299,0.00162299
6,53.2672,1.89833,2.64003,1.82616,0.18494,0.265,0.11786,0.04311,1.97217,7.01784,2.11245,0.00161199,0.00161199,0.00161199
7,61.8736,1.88384,2.5225,1.81962,0.15469,0.245,0.09769,0.03598,2.05177,8.00815,2.24156,0.00160099,0.00160099,0.00160099
8,69.4921,1.90126,2.4772,1.77778,0.22123,0.34089,0.1956,0.08857,1.86831,4.8412,1.98706,0.00158998,0.00158998,0.00158998
9,78.4115,1.8434,2.38229,1.75388,0.22003,0.275,0.16831,0.06164,1.90282,4.46578,1.9596,0.00157898,0.00157898,0.00157898
10,87.1809,1.84146,2.3759,1.76033,0.28898,0.27,0.24273,0.1144,1.8845,2.57033,1.9201,0.00156798,0.00156798,0.00156798
11,94.463,1.79688,2.2378,1.7415,0.24675,0.255,0.16983,0.0726,2.36105,2.87727,2.46472,0.00155698,0.00155698,0.00155698
12,103.696,1.81119,2.22004,1.70033,0.28278,0.31,0.21625,0.09511,1.8942,2.44842,1.94253,0.00154598,0.00154598,0.00154598
13,112.488,1.84246,2.24798,1.75388,0.37821,0.31,0.29645,0.15653,1.8364,2.47953,1.88739,0.00153497,0.00153497,0.00153497
14,120.61,1.74781,2.2107,1.68971,0.37544,0.33,0.27521,0.12698,1.83066,2.25359,1.83898,0.00152397,0.00152397,0.00152397
15,129.301,1.77307,2.16718,1.7104,0.46661,0.31,0.33482,0.16751,1.80796,2.18383,1.85113,0.00151297,0.00151297,0.00151297
16,137.895,1.74634,2.16531,1.71361,0.32737,0.355,0.28762,0.14378,1.8176,2.22171,1.83385,0.00150197,0.00150197,0.00150197
17,145.755,1.73742,2.09905,1.70377,0.3988,0.38,0.32842,0.16947,1.6973,2.38317,1.68857,0.00149096,0.00149096,0.00149096
18,154.338,1.71267,2.08344,1.64404,0.40736,0.4,0.35059,0.19459,1.73707,2.05897,1.7367,0.00147996,0.00147996,0.00147996
19,161.931,1.71044,2.02467,1.64422,0.53394,0.325,0.37095,0.20634,1.73928,1.99883,1.70284,0.00146896,0.00146896,0.00146896
20,170.46,1.70092,2.03662,1.62732,0.3863,0.37138,0.32098,0.14649,1.744,2.12254,1.69592,0.00145796,0.00145796,0.00145796
21,178.807,1.64026,1.92407,1.59168,0.39605,0.37,0.32343,0.16326,1.76028,2.04612,1.74772,0.00144696,0.00144696,0.00144696
22,186.591,1.66612,2.00792,1.6435,0.40614,0.38,0.34958,0.18813,1.68131,1.94834,1.70383,0.00143595,0.00143595,0.00143595
23,194.808,1.64354,1.94748,1.59273,0.4322,0.38,0.32424,0.15836,1.76832,2.03867,1.72707,0.00142495,0.00142495,0.00142495
24,203.03,1.6175,1.88793,1.61606,0.54782,0.37,0.36216,0.18545,1.70469,2.00372,1.71601,0.00141395,0.00141395,0.00141395
25,211.071,1.57517,1.89518,1.56826,0.43714,0.41,0.37896,0.18795,1.69571,1.87188,1.71822,0.00140295,0.00140295,0.00140295
26,219.461,1.57769,1.85517,1.58129,0.59823,0.305,0.34693,0.17888,1.77468,2.03599,1.8211,0.00139195,0.00139195,0.00139195
27,227.523,1.63391,1.86075,1.61342,0.46186,0.37,0.38212,0.19758,1.73616,1.92285,1.74642,0.00138094,0.00138094,0.00138094
28,235.83,1.64375,1.8363,1.58032,0.51542,0.365,0.37468,0.19378,1.71935,1.92717,1.72931,0.00136994,0.00136994,0.00136994
29,244.918,1.62754,1.82183,1.57875,0.44487,0.365,0.34911,0.19005,1.70112,1.92903,1.73497,0.00135894,0.00135894,0.00135894
