epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2229,2.19194,5.8649,2.15368,0.18631,0.165,0.08576,0.03651,2.06471,5.27303,2.08337,0.000543038,0.000543038,0.000543038
2,30.9486,2.00282,3.01698,2.01916,0.12637,0.275,0.0893,0.03203,2.22215,5.76979,2.57552,0.00107695,0.00107695,0.00107695
3,44.4241,2.0833,2.89048,2.05092,0.01279,0.135,0.00547,0.0019,2.80867,122.582,4.76428,0.00158886,0.00158886,0.00158886
4,58.2877,2.07511,2.63369,2.03621,0.02112,0.15,0.00984,0.00232,2.98704,15.0268,3.80492,0.00156798,0.00156798,0.00156798
5,72.1259,2.07459,2.62918,2.04559,0.18543,0.17,0.08128,0.02492,2.25805,3.72899,2.33625,0.00153497,0.00153497,0.00153497
6,86.0098,1.98822,2.45009,1.93393,0.40807,0.255,0.21367,0.08691,1.97839,3.75702,2.07388,0.00150197,0.00150197,0.00150197
7,99.4482,1.94078,2.38985,1.94284,0.20378,0.38,0.17659,0.07744,1.96144,3.85461,2.01723,0.00146896,0.00146896,0.00146896
8,112.94,1.90611,2.40254,1.94961,0.23207,0.29,0.17127,0.08299,1.77782,2.79606,1.92912,0.00143595,0.00143595,0.00143595
9,126.273,1.88081,2.38495,1.93519,0.27452,0.31786,0.23276,0.1017,1.8676,3.15262,2.03871,0.00140295,0.00140295,0.00140295
10,139.829,1.84752,2.34593,1.87365,0.31291,0.33,0.26158,0.11655,1.91189,2.33133,1.99733,0.00136994,0.00136994,0.00136994
11,153.336,1.84156,2.19001,1.85515,0.3694,0.345,0.30549,0.1564,1.80176,2.39219,1.87704,0.00133693,0.00133693,0.00133693
12,167.01,1.85296,2.22538,1.9151,0.46281,0.25,0.28466,0.14713,1.81292,2.25727,1.93579,0.00130393,0.00130393,0.00130393
13,180.502,1.88281,2.28914,1.90816,0.34789,0.435,0.29432,0.14406,1.78725,2.34521,1.86458,0.00127092,0.00127092,0.00127092
14,193.961,1.81919,2.24837,1.84818,0.52967,0.295,0.32751,0.16941,1.7233,2.1313,1.80134,0.00123791,0.00123791,0.00123791
15,207.506,1.72189,2.15855,1.79984,0.37964,0.39,0.34128,0.16698,1.81614,2.23965,1.89009,0.00120491,0.00120491,0.00120491
16,221.04,1.77889,2.13459,1.83214,0.42584,0.31,0.32764,0.18745,1.6395,2.10307,1.78891,0.0011719,0.0011719,0.0011719
17,234.575,1.66535,2.03972,1.74884,0.49466,0.345,0.35345,0.18462,1.71801,2.11016,1.80659,0.00113889,0.00113889,0.00113889
18,248.179,1.71543,2.12522,1.7657,0.44082,0.38628,0.36057,0.19859,1.66215,2.19663,1.77864,0.00110589,0.00110589,0.00110589
19,261.754,1.69965,2.0753,1.78621,0.42803,0.415,0.38556,0.20978,1.70653,2.12153,1.81954,0.00107288,0.00107288,0.00107288
20,275.386,1.71792,2.05406,1.77319,0.45763,0.42,0.38875,0.21735,1.68113,1.9709,1.7691,0.00103987,0.00103987,0.00103987
21,289.349,1.6769,1.97974,1.74306,0.44673,0.425,0.37559,0.1956,1.68977,2.07354,1.80651,0.00100687,0.00100687,0.00100687
22,303.362,1.69057,1.98198,1.78482,0.5549,0.38,0.4318,0.23622,1.62815,1.88185,1.72699,0.000973861,0.000973861,0.000973861
23,316.992,1.63505,1.98008,1.71954,0.46489,0.46046,0.43422,0.23137,1.64848,1.96756,1.7387,0.000940855,0.000940855,0.000940855
24,330.449,1.63922,1.94158,1.71401,0.59516,0.38,0.45986,0.24773,1.62849,1.80199,1.7434,0.000907848,0.000907848,0.000907848
25,343.899,1.6282,1.9598,1.74209,0.53168,0.435,0.42989,0.23174,1.61286,1.913,1.7452,0.000874842,0.000874842,0.000874842
26,357.477,1.57195,1.87569,1.6635,0.4484,0.46742,0.42468,0.22305,1.62468,1.90851,1.75928,0.000841835,0.000841835,0.000841835
27,370.964,1.60962,1.8874,1.68737,0.49799,0.4,0.43739,0.24112,1.59903,1.82296,1.71838,0.000808828,0.000808828,0.000808828
28,384.792,1.5932,1.88033,1.67331,0.50322,0.46,0.44664,0.24004,1.60461,1.82256,1.73163,0.000775822,0.000775822,0.000775822
29,398.617,1.5591,1.84678,1.67559,0.48058,0.42098,0.43456,0.23125,1.58765,1.89975,1.75004,0.000742815,0.000742815,0.000742815
30,412.328,1.49293,1.75468,1.61982,0.66783,0.37,0.45391,0.25493,1.64872,1.7857,1.75341,0.000709809,0.000709809,0.000709809
31,426.016,1.50503,1.74074,1.58898,0.48967,0.425,0.44986,0.25457,1.54935,1.87919,1.66592,0.000676802,0.000676802,0.000676802
32,439.866,1.51696,1.74249,1.59377,0.44988,0.46205,0.43104,0.24816,1.59109,1.75661,1.69466,0.000643795,0.000643795,0.000643795
33,453.408,1.51445,1.73542,1.57479,0.46943,0.465,0.45315,0.25322,1.61266,1.83287,1.72564,0.000610789,0.000610789,0.000610789
34,466.919,1.53843,1.72942,1.62945,0.55485,0.475,0.46076,0.25925,1.56046,1.82398,1.67211,0.000577782,0.000577782,0.000577782
35,480.843,1.46483,1.69975,1.59697,0.53915,0.46796,0.47344,0.27812,1.55669,1.75769,1.6645,0.000544776,0.000544776,0.000544776
36,495.18,1.44965,1.62743,1.56851,0.53099,0.44,0.45575,0.26368,1.60294,1.71073,1.7062,0.000511769,0.000511769,0.000511769
37,508.947,1.46838,1.68889,1.62029,0.52603,0.435,0.44981,0.25651,1.59855,1.74493,1.71871,0.000478762,0.000478762,0.000478762
38,522.493,1.48906,1.68912,1.58697,0.51663,0.415,0.42469,0.22261,1.63612,1.86639,1.74539,0.000445756,0.000445756,0.000445756
39,536.269,1.41806,1.62551,1.57525,0.49023,0.45198,0.43255,0.24382,1.60252,1.80313,1.72721,0.000412749,0.000412749,0.000412749
40,549.999,1.47094,1.61293,1.54358,0.62633,0.43,0.46316,0.24991,1.63849,1.7474,1.75609,0.000379743,0.000379743,0.000379743
41,565.262,1.43029,1.7098,1.57961,0.58147,0.435,0.46585,0.26693,1.59672,1.72364,1.71752,0.000346736,0.000346736,0.000346736
42,578.817,1.37097,1.58324,1.51625,0.60202,0.445,0.46934,0.27666,1.51764,1.70387,1.66929,0.000313729,0.000313729,0.000313729
43,592.373,1.34385,1.52454,1.5425,0.5763,0.45,0.46918,0.26342,1.53232,1.79083,1.6998,0.000280723,0.000280723,0.000280723
44,605.91,1.31602,1.47025,1.4868,0.62426,0.44028,0.48649,0.2746,1.55839,1.66142,1.68788,0.000247716,0.000247716,0.000247716
45,619.427,1.31432,1.44951,1.48345,0.51754,0.495,0.46398,0.26598,1.58855,1.67432,1.7293,0.00021471,0.00021471,0.00021471
46,633.066,1.31186,1.38604,1.46232,0.52836,0.485,0.46015,0.2597,1.63126,1.69702,1.79487,0.000181703,0.000181703,0.000181703
47,646.537,1.2879,1.3346,1.43686,0.5807,0.44,0.45907,0.25877,1.59357,1.68328,1.74872,0.000148696,0.000148696,0.000148696
48,660.274,1.28694,1.36552,1.45691,0.62949,0.435,0.4623,0.2629,1.5759,1.69424,1.72747,0.00011569,0.00011569,0.00011569
49,674.109,1.29345,1.34921,1.481,0.57006,0.49058,0.47421,0.27487,1.56347,1.68058,1.71435,8.26832e-05,8.26832e-05,8.26832e-05
50,688.092,1.23899,1.29723,1.41262,0.55434,0.4851,0.47458,0.27335,1.5693,1.67324,1.71134,4.96766e-05,4.96766e-05,4.96766e-05
