epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4078,2.16427,4.5129,2.09329,0.1172,0.21,0.092,0.03529,1.97865,5.06627,2.05726,0.000549352,0.000549352,0.000549352
2,43.2687,1.98541,2.89265,2.0206,0.17446,0.25,0.12746,0.05458,2.09419,3.0918,2.199,0.00109408,0.00109408,0.00109408
3,61.884,2.10304,2.79968,2.0745,0.26598,0.16,0.12533,0.05592,1.99416,4.71277,2.1323,0.0016278,0.0016278,0.0016278
4,81.1398,2.08559,2.62286,2.02792,0.05714,0.125,0.04459,0.01688,2.14079,11.3904,2.65889,0.00161749,0.00161749,0.00161749
5,99.8924,2.06484,2.49456,2.08592,0.16628,0.19646,0.0925,0.03863,2.02438,3.43638,2.3067,0.00160099,0.00160099,0.00160099
6,119.268,2.00906,2.40843,2.00594,0.254,0.24,0.18637,0.08852,2.02275,2.5939,2.08055,0.00158448,0.00158448,0.00158448
7,137.717,2.00429,2.42764,2.00824,0.17122,0.205,0.11084,0.04446,2.06572,2.72414,2.10091,0.00156798,0.00156798,0.00156798
8,157.082,2.02688,2.46112,1.99796,0.30035,0.27,0.18906,0.07484,1.99817,2.42264,2.06804,0.00155148,0.00155148,0.00155148
9,175.514,1.92605,2.40614,1.91905,0.34263,0.295,0.23686,0.10769,1.90166,2.42264,1.92305,0.00153497,0.00153497,0.00153497
10,194.934,1.89389,2.31893,1.9052,0.38097,0.29,0.24147,0.11508,1.85252,2.23962,1.80208,0.00151847,0.00151847,0.00151847
11,213.591,1.95122,2.40517,1.95047,0.35898,0.27,0.21875,0.09486,1.96596,2.51806,2.00809,0.00150197,0.00150197,0.00150197
12,232.396,1.87997,2.35595,1.93465,0.48253,0.335,0.32041,0.15751,1.73336,2.25203,1.82413,0.00148546,0.00148546,0.00148546
13,251.534,1.92994,2.30189,1.89553,0.38431,0.345,0.28812,0.14033,1.8622,2.1204,1.80161,0.00146896,0.00146896,0.00146896
14,270.22,1.89471,2.22297,1.85801,0.30862,0.275,0.20936,0.10377,1.77381,2.33769,1.79961,0.00145246,0.00145246,0.00145246
15,289.056,1.82221,2.24245,1.82268,0.30558,0.365,0.22765,0.11625,1.76907,2.1722,1.76433,0.00143595,0.00143595,0.00143595
16,307.815,1.87937,2.19251,1.83144,0.38395,0.38,0.33262,0.17367,1.70836,2.01067,1.71223,0.00141945,0.00141945,0.00141945
17,326.413,1.75184,2.10827,1.77323,0.39428,0.385,0.33296,0.17553,1.72585,2.12032,1.70086,0.00140295,0.00140295,0.00140295
18,345.461,1.7677,2.09123,1.76344,0.43743,0.375,0.34837,0.19567,1.68516,1.96761,1.68715,0.00138644,0.00138644,0.00138644
19,364.428,1.78351,2.10619,1.81008,0.37638,0.34,0.31653,0.14748,1.76607,2.04311,1.74592,0.00136994,0.00136994,0.00136994
